         10032344 function calls (9987505 primitive calls) in 593.601 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2522    0.040    0.000    1.847    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:339(_plot_args)
     2522    0.018    0.000    1.670    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:284(_makeline)
     2558    0.090    0.000    1.632    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:277(__init__)
     2522    0.026    0.000    1.525    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:1913(_update_line_limits)
    10088    1.495    0.000    1.495    0.000 {fillPoly}
    54223    1.428    0.000    1.428    0.000 {method 'encode' of 'ImagingEncoder' objects}
    12818    1.414    0.000    1.418    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:161(set_children)
     1261    0.308    0.000    1.327    0.001 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\common.py:125(draw_lines)
     1261    0.012    0.000    1.255    0.001 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:779(frombytes)
     1261    1.223    0.001    1.223    0.001 {method 'decode' of 'ImagingDecoder' objects}
  3201683    1.212    0.000    1.212    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:962(sticky_edges)
     1260    1.159    0.001    1.159    0.001 {method 'write' of '_io.BufferedWriter' objects}
     1261    0.006    0.000    1.124    0.001 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\color.py:59(grayscale)
     2556    0.007    0.000    1.108    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1025(__init__)
     7656    0.007    0.000    1.106    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1267(__add__)
     7656    0.034    0.000    1.097    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2536(composite_transform_factory)
     2522    0.007    0.000    1.086    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1338(contains_branch_seperately)
     2522    0.011    0.000    1.079    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1318(contains_branch)
     7656    0.018    0.000    1.057    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2354(__init__)
    82205    1.019    0.000    1.019    0.000 {line}
     2550    0.009    0.000    1.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:191(get_transform)
     2550    0.004    0.000    0.864    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:708(get_patch_transform)
     2550    0.069    0.000    0.860    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:679(_update_patch_transform)
    35732    0.751    0.000    0.751    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:83(__init__)
     5044    0.010    0.000    0.716    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2407(_iter_break_from_left_to_right)
     2522    0.404    0.000    0.683    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1646(normalize_kwargs)
    22698    0.654    0.000    0.654    0.000 {built-in method numpy.core.multiarray.empty_like}
     2738    0.201    0.000    0.638    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:885(update)
    15236    0.018    0.000    0.634    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:1933(any)
    10088    0.061    0.000    0.625    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2274(isclose)
     2522    0.019    0.000    0.623    0.000 C:\Program Files\Python37\lib\site-packages\PIL\ImageFont.py:125(__init__)
     2528    0.013    0.000    0.606    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:920(_set_artist_props)
     2522    0.601    0.000    0.601    0.000 {built-in method PIL._imagingft.getfont}
     2522    0.598    0.000    0.598    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2427(<listcomp>)
