         352011 function calls (346452 primitive calls) in 9.502 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.001    0.000    0.020    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\image.py:186(__init__)
       16    0.000    0.000    0.020    0.001 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:779(frombytes)
 1576/788    0.009    0.000    0.020    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\units.py:140(get_converter)
     1108    0.015    0.000    0.020    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2861(nonsingular)
     16/5    0.000    0.000    0.019    0.004 <frozen importlib._bootstrap>:663(_load_unlocked)
     16/5    0.000    0.000    0.019    0.004 <frozen importlib._bootstrap_external>:722(exec_module)
     6177    0.016    0.000    0.018    0.000 {built-in method builtins.next}
      260    0.001    0.000    0.018    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2001(rotate_deg_around)
      468    0.001    0.000    0.018    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2107(_process_unit_info)
    17987    0.009    0.000    0.017    0.000 {built-in method builtins.isinstance}
      936    0.005    0.000    0.017    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3124(_validate_converted_limits)
     1288    0.002    0.000    0.017    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:2337(amin)
      196    0.001    0.000    0.017    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:223(__init__)
  648/360    0.005    0.000    0.016    0.000 {method 'view' of 'numpy.generic' objects}
      936    0.001    0.000    0.016    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2110(_process_single_axis)
      360    0.004    0.000    0.016    0.000 C:\Program Files\Python37\lib\site-packages\numpy\ma\core.py:2931(__array_finalize__)
     17/5    0.000    0.000    0.016    0.003 {built-in method builtins.exec}
      196    0.002    0.000    0.015    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:294(set_marker)
     12/8    0.000    0.000    0.015    0.002 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:666(__get__)
      448    0.001    0.000    0.015    0.000 C:\Program Files\Python37\lib\contextlib.py:237(helper)
       12    0.000    0.000    0.015    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:72(__init__)
      160    0.001    0.000    0.014    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1338(contains_branch_seperately)
     1856    0.001    0.000    0.014    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\_methods.py:45(_all)
      850    0.005    0.000    0.014    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:757(__init__)
     1064    0.002    0.000    0.014    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:1933(any)
      160    0.001    0.000    0.014    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1318(contains_branch)
