         10032344 function calls (9987505 primitive calls) in 661.169 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2522    0.014    0.000    0.415    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3469(set_ybound)
     2522    0.015    0.000    0.393    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3061(set_xbound)
    25222    0.030    0.000    0.392    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:2016(all)
     2524    0.034    0.000    0.373    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3532(set_ylim)
     2534    0.006    0.000    0.365    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:939(get_path)
     2534    0.074    0.000    0.359    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:637(recache)
     5044    0.358    0.000    0.358    0.000 {built-in method builtins.sum}
     2738    0.004    0.000    0.356    0.000 C:\Program Files\Python37\lib\contextlib.py:107(__enter__)
     5476    0.347    0.000    0.354    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1981(_setattr_cm)
     2524    0.040    0.000    0.347    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3142(set_xlim)
    10088    0.137    0.000    0.341    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2350(within_tol)
    10092    0.019    0.000    0.307    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1460(update_units)
     2554    0.260    0.000    0.297    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:819(from_extents)
20184/10092    0.180    0.000    0.288    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\units.py:140(get_converter)
     2552    0.224    0.000    0.275    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:793(unit)
     2522    0.183    0.000    0.256    0.000 C:\Program Files\Python37\lib\site-packages\numpy\linalg\linalg.py:2028(lstsq)
        1    0.000    0.000    0.252    0.252 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\AudioFileClip.py:66(__init__)
        1    0.000    0.000    0.252    0.252 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\readers.py:41(__init__)
        1    0.001    0.001    0.248    0.248 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_reader.py:25(__init__)
     5048    0.010    0.000    0.238    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2107(_process_unit_info)
    10096    0.013    0.000    0.228    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2110(_process_single_axis)
    21437    0.032    0.000    0.227    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:2337(amin)
    15136    0.163    0.000    0.221    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2861(nonsingular)
    23959    0.215    0.000    0.215    0.000 {built-in method numpy.core.multiarray.zeros}
        2    0.000    0.000    0.212    0.106 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_reader.py:228(ffmpeg_parse_infos)
     2550    0.010    0.000    0.204    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2001(rotate_deg_around)
7566/5044    0.010    0.000    0.201    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2400(__eq__)
        3    0.192    0.064    0.192    0.064 {method 'readline' of '_io.BufferedReader' objects}
     2522    0.004    0.000    0.189    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1655(__eq__)
     2522    0.008    0.000    0.184    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2292(__eq__)
80074/62068    0.086    0.000    0.177    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:225(stale)
5046/5044    0.028    0.000    0.176    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1741(__eq__)
    42318    0.040    0.000    0.175    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:976(argmax)
    27765    0.015    0.000    0.165    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\_methods.py:45(_all)
   233211    0.097    0.000    0.162    0.000 {built-in method builtins.isinstance}
     5044    0.086    0.000    0.160    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2445(<listcomp>)
    44845    0.039    0.000    0.143    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:49(_wrapfunc)
    10154    0.050    0.000    0.141    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:757(__init__)
    10096    0.047    0.000    0.140    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3124(_validate_converted_limits)
